indicator,type,topic,description,response,year,respondent_group,sample_size,result,format
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,2022,Parkville 3052,82,44.3,Per cent
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),2022,18-24 years,397,69.9,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),2022,35-44 years,229,72.8,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),2022,55-64 years,112,77.2,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),2022,Male,558,72.4,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),2022,Docklands 3008,116,72.5,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),2022,18-24 years,397,73.9,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),2022,Female,865,75.9,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),2022,Carlton 3053,170,74.3,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),2022,Docklands 3008,116,75.7,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),2022,Kensington / Flemington 3031,114,79.2,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),2022,North Melbourne 3051 / West Melbourne 3003,235,73.3,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),2022,Parkville 3052,93,76.5,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),2022,18-24 years,397,71.4,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),2022,35-44 years,229,72.6,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),2022,Female,865,71.7,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),2022,City of Melbourne,1444,73.2,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),2022,Parkville 3052,93,74.2,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),2022,25-34 years,458,70.4,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),2022,65+ years,121,71.7,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),2022,Female,865,70.2,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),2022,City of Melbourne,1444,69.9,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),2022,Kensington / Flemington 3031,114,73.1,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),2022,Melbourne 3000,351,68.7,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,116,68.5,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),2022,35-44 years,229,74.9,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),2022,55-64 years,112,78.4,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),2022,65+ years,121,75.7,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),2022,Carlton 3053,170,70.9,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),2022,Docklands 3008,116,72.9,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),2022,Kensington / Flemington 3031,114,77.4,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),2022,Parkville 3052,93,75.7,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),2022,35-44 years,229,80.0,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),2022,Female,865,78.5,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),2022,Kensington / Flemington 3031,114,81.4,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),2022,Melbourne 3000,351,77.9,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),2022,45-54 years,121,69.7,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),2022,55-64 years,112,71.9,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),2022,Carlton 3053,170,66.8,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),2022,East Melbourne 3002,86,70.9,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),2022,Melbourne 3000,351,64.7,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),2022,South Wharf / Southbank 3006,163,61.5,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,116,64.9,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),2022,18-24 years,397,64.4,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),2022,Female,865,66.3,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),2022,Carlton 3053,170,64.3,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),2022,City of Melbourne,1444,67.0,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),2022,East Melbourne 3002,86,74.0,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),2022,Melbourne 3000,351,65.0,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),2022,North Melbourne 3051 / West Melbourne 3003,235,67.0,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),2022,18-24 years,417,69.2,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),2022,35-44 years,237,73.7,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),2022,65+ years,132,764.0,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),2022,City of Melbourne,1505,72.3,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),2022,East Melbourne 3002,90,82.6,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),2022,Melbourne 3000,362,70.7,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,125,75.2,Average
